uuid,gpu_name,n,precision,achieved_tflops,theoretical_peak_tflops,pct_of_peak,median_s,mean_s,stdev_s,cv_pct,reps,warmup,note
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,1024,fp32,40.269,104.8,38.42,5.332800e-05,6.276608e-05,2.257154e-05,35.961,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,1024,tf32,26.779,104.8,25.55,8.019200e-05,7.576192e-05,1.796541e-05,23.713,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,1024,fp16,96.145,209.5,45.89,2.233600e-05,2.678272e-05,9.942488e-06,37.123,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,1024,bf16,20.281,209.5,9.68,1.058880e-04,1.010157e-04,2.173740e-05,21.519,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,1024,fp8,41.196,419.0,9.83,5.212800e-05,5.273344e-05,3.299913e-05,62.577,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4096,fp32,64.782,104.8,61.81,2.121568e-03,2.143820e-03,6.998528e-05,3.265,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4096,tf32,101.686,104.8,97.03,1.351600e-03,1.363516e-03,6.751400e-05,4.951,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4096,fp16,209.833,209.5,100.16,6.549920e-04,6.756525e-04,6.845627e-05,10.132,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4096,bf16,179.694,209.5,85.77,7.648480e-04,7.934182e-04,9.438558e-05,11.896,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,4096,fp8,376.388,419.0,89.83,3.651520e-04,3.837997e-04,4.520000e-05,11.777,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8192,fp32,64.474,104.8,61.52,1.705350e-02,1.703054e-02,2.427702e-04,1.425,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8192,tf32,112.975,104.8,107.8,9.732384e-03,9.733720e-03,4.581760e-05,0.471,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8192,fp16,212.909,209.5,101.63,5.164224e-03,5.141528e-03,7.707277e-05,1.499,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8192,bf16,224.206,209.5,107.02,4.904016e-03,4.898892e-03,5.915658e-05,1.208,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,8192,fp8,450.094,419.0,107.42,2.442848e-03,2.455800e-03,4.370339e-05,1.78,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16384,fp32,65.505,104.8,62.5,1.342821e-01,1.344186e-01,6.537945e-04,0.486,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16384,tf32,116.254,104.8,110.93,7.566262e-02,7.574360e-02,2.735398e-04,0.361,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16384,fp16,214.576,209.5,102.42,4.099299e-02,4.106193e-02,2.585244e-04,0.63,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16384,bf16,226.866,209.5,108.29,3.877213e-02,3.888553e-02,6.539159e-04,1.682,50,10,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16384,fp8,436.706,419.0,104.23,2.014190e-02,2.021289e-02,2.454555e-04,1.214,50,10,
