uuid,gpu_name,impl,phase,seq_len,batch,heads,head_dim,dtype,ok,peak_mem_bytes,peak_mem_gib,latency_ms,mean_ms,stdev_ms,reps,warmup,vram_total_gib,failure_kind,speedup_vs_naive,peak_mem_ratio_vs_naive,note
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,sweep,512,1,8,64,fp16,1,19005440,0.0177,0.1503,0.1582,0.0575,20,5,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,sweep,1024,1,8,64,fp16,1,46268416,0.0431,0.07,0.0833,0.0591,20,5,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,sweep,2048,1,8,64,fp16,1,151126016,0.1407,0.2926,0.3088,0.0574,20,5,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,sweep,4096,1,8,64,fp16,1,562167808,0.5236,1.2071,1.245,0.1037,20,5,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,sweep,8192,1,8,64,fp16,1,2189557760,2.0392,4.6977,4.6937,0.0489,20,5,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,sweep,16384,1,8,64,fp16,1,8665563136,8.0704,17.9389,17.9414,0.0259,20,5,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,extend,32768,1,8,64,fp16,0,34502475776,32.1329,216.9015,217.554,1.4162,3,1,31.842,implausible,,,"implausible, peak 32.13 GiB exceeds physical VRAM 31.84 GiB, likely host memory fallback rather than a real on device allocation"
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,refine,24576,1,8,64,fp16,1,19436535808,18.1017,40.275,40.231,0.1021,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,refine,28672,1,8,64,fp16,1,26432634880,24.6173,55.1589,55.1652,0.1265,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,refine,30720,1,8,64,fp16,1,30333337600,28.2501,62.6216,62.7191,0.2186,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,refine,31744,1,8,64,fp16,1,32388546560,30.1642,87.5244,87.557,0.3543,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,refine,32256,1,8,64,fp16,1,33437122560,31.1407,141.2421,141.3889,0.4566,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,naive,refine,32512,1,8,64,fp16,1,33969799168,31.6368,171.7668,171.8222,0.438,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,sweep,512,1,8,64,fp16,1,12764160,0.0119,0.0912,0.0841,0.0171,20,5,31.842,,1.648,1.489,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,sweep,1024,1,8,64,fp16,1,17007616,0.0158,0.0319,0.0393,0.0123,20,5,31.842,,2.194,2.72,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,sweep,2048,1,8,64,fp16,1,16974848,0.0158,0.0704,0.0716,0.007,20,5,31.842,,4.156,8.903,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,sweep,4096,1,8,64,fp16,1,25428992,0.0237,0.2131,0.2309,0.06,20,5,31.842,,5.664,22.107,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,sweep,8192,1,8,64,fp16,1,42337280,0.0394,0.8127,0.8432,0.0831,20,5,31.842,,5.78,51.717,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,sweep,16384,1,8,64,fp16,1,76153856,0.0709,2.7823,2.8009,0.072,20,5,31.842,,6.448,113.79,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,extend,32768,1,8,64,fp16,1,143787008,0.1339,10.2918,10.3487,0.1649,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,extend,65536,1,8,64,fp16,1,279053312,0.2599,39.731,39.7039,0.0609,3,1,31.842,,,,
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,fused,extend,131072,1,8,64,fp16,1,549585920,0.5118,157.9327,157.7167,0.8602,3,1,31.842,,,,
