elapsed_s,timestamp,clocks.current.sm,clocks.current.memory,temperature.gpu,power.draw,utilization.gpu,utilization.memory,clocks_throttle_reasons.active
0.1,2026-09-18 22:42:10,180,13801,33,88.44,40,14,0x0000000000000004
5.16,2026-09-18 22:42:15,2737,13801,52,574.98,100,32,0x0000000000000004
10.2,2026-09-18 22:42:20,2722,13801,55,575.00,100,32,0x0000000000000004
15.25,2026-09-18 22:42:25,2722,13801,57,574.96,100,32,0x0000000000000004
20.29,2026-09-18 22:42:31,2715,13801,60,575.06,100,32,0x0000000000000004
25.36,2026-09-18 22:42:36,2707,13801,62,575.15,100,32,0x0000000000000004
30.42,2026-09-18 22:42:41,2700,13801,64,575.01,99,32,0x0000000000000004
35.46,2026-09-18 22:42:46,2692,13801,65,575.17,100,32,0x0000000000000004
40.5,2026-09-18 22:42:51,2685,13801,67,574.93,100,32,0x0000000000000004
45.56,2026-09-18 22:42:56,2677,13801,68,574.96,100,32,0x0000000000000004
50.6,2026-09-18 22:43:01,2677,13801,70,574.90,100,32,0x0000000000000004
55.65,2026-09-18 22:43:06,2670,13801,70,575.03,100,32,0x0000000000000004
60.7,2026-09-18 22:43:11,2662,13801,71,575.05,100,31,0x0000000000000004
65.75,2026-09-18 22:43:16,2655,13801,71,575.09,100,31,0x0000000000000004
70.8,2026-09-18 22:43:21,2655,13801,71,575.17,100,31,0x0000000000000004
75.84,2026-09-18 22:43:26,2647,13801,72,574.97,100,31,0x0000000000000004
80.89,2026-09-18 22:43:31,2655,13801,72,575.08,100,31,0x0000000000000004
85.93,2026-09-18 22:43:36,2647,13801,72,575.17,100,31,0x0000000000000004
90.97,2026-09-18 22:43:41,2647,13801,72,574.88,100,31,0x0000000000000004
96.0,2026-09-18 22:43:46,2647,13801,72,575.02,100,31,0x0000000000000004
101.04,2026-09-18 22:43:51,2647,13801,72,574.99,100,31,0x0000000000000004
106.08,2026-09-18 22:43:56,2647,13801,72,574.96,100,31,0x0000000000000004
111.13,2026-09-18 22:44:01,2647,13801,72,575.12,100,31,0x0000000000000004
116.17,2026-09-18 22:44:06,2647,13801,73,574.94,100,31,0x0000000000000004
121.23,2026-09-18 22:44:11,2647,13801,72,575.06,100,31,0x0000000000000004
126.29,2026-09-18 22:44:17,2640,13801,73,574.97,100,31,0x0000000000000004
131.35,2026-09-18 22:44:22,2647,13801,73,574.98,100,31,0x0000000000000004
136.41,2026-09-18 22:44:27,2640,13801,72,574.84,100,31,0x0000000000000004
141.45,2026-09-18 22:44:32,2640,13801,73,574.95,100,31,0x0000000000000004
146.49,2026-09-18 22:44:37,2640,13801,73,575.12,100,31,0x0000000000000004
151.54,2026-09-18 22:44:42,2640,13801,73,574.93,100,31,0x0000000000000004
156.58,2026-09-18 22:44:47,2640,13801,72,574.95,100,31,0x0000000000000004
161.63,2026-09-18 22:44:52,2640,13801,73,574.92,100,31,0x0000000000000004
166.67,2026-09-18 22:44:57,2640,13801,73,574.94,100,31,0x0000000000000004
